abolish v. C1 | kaldırmak, yürürlükten kaldırmak
patron n. C1 | himaye eden, müşteri
pause v., n. B2 | mola vermek, duraklama
peak n. C1 | zirve, tepe
peasant n. C1 | köylü, çiftçi
peculiar adj. C1 | garip, tuhaf
peer n. B2 | yaşıt, akran
penalty n. B2 | ceza, yaptırım
pension n. C1 | emeklilik aylığı, emekli maaşı
perceive v. B2 | algılamak, sezmek
perception n. B2 | algı, seziş
permanently adv. B2 | kalıcı bir şekilde, sürekli olarak
persist v. C1 | ısrar etmek, devam etmek
persistent adj. C1 | sürekli, kalıcı
personnel n. C1 | personel, çalışanlar
petition n. C1 | dilekçe, dilekçe verme
pharmacy n. B2 | eczane, ilaççı
philosopher n. C1 | filozof, düşünür
philosophical adj. C1 | felsefi, düşünsel
physician n. B2 | doktor, hekim
pill n. B2 | hap, ilaç
pioneer n., v. C1 | öncü, öncü olmak
pipeline n. C1 | boru hattı, boru döşeme
pirate n. C1 | korsan, deniz haydudu
pit n. C1 | çukur, çukurluk
pity n. B2 | acıma, merhamet
placement n. B2 | yerleştirme, konumlandırma
plea n. C1 | rica, savunma
plead v. C1 | yalvarmak, rica etmek
pledge v., n. C1 | söz vermek, kefalet
plug v., n. C1 | takmak, fiş
plunge v. C1 | dalmak, batmak
pole n. C1 | direk, sırık
poll n. C1 | anket, oy verme
pond n. C1 | gölet, gölcük
pop v. C1 | patlamak, çıkmak
portfolio n. C1 | portföy, dosya
portion n. B2 | kısım, pay
portray v. C1 | betimlemek, tasvir etmek
postpone v. C1 | ertelemek, sonraya atmak
postwar adj. C1 | savaş sonrası, savaş sonrası dönem
potentially adv. B2 | potansiyel olarak, olası olarak
practitioner n. C1 | uygulayıcı, pratisyen
preach v. C1 | vaaz vermek, öğüt vermek
precede v. B2 | önce gelmek, önünde olmak
precedent n. C1 | örnek, emsal
precious adj. B2 | değerli, kıymetli
precise adj. B2 | kesin, tam
precisely adv. B2 | tam olarak, kesin olarak
precision n. C1 | hassasiyet, kesinlik
predator n. C1 | yırtıcı hayvan, avcı
predecessor n. C1 | önceki, selef
predictable adj. B2 | tahmin edilebilir, kestirilebilir
predominantly adv. C1 | ağırlıklı olarak, başlıca
preference n. B2 | tercih, beğeni
pregnancy n. C1 | gebelik, hamilelik
prejudice n. C1 | önyargı, peşin hüküm
preliminary adj. C1 | ön hazırlık, ilk aşama
premier n. C1 | başbakan, başkan
premise n. C1 | önerme, tez
premium n. C1 | prim, üstün
prescribe v. C1 | reçete yazmak, öngörmek
prescription n. C1 | reçete, ilaç yazımı
presently adv. C1 | şu anda, yakında
preservation n. C1 | koruma, muhafaza
preside v. C1 | başkanlık etmek, yönetmek
presidency n. C1 | başkanlık, liderlik
presidential adj. B2 | başkanlıkla ilgili, devlet başkanlığına ait
prestigious adj. C1 | prestijli, itibarlı
presumably adv. C1 | muhtemelen, büyük ihtimalle
presume v. C1 | varsaymak, tahmin etmek
prevail v. C1 | hakim olmak, üstün gelmek
prevalence n. C1 | yaygınlık, egemenlik
prevention n. C1 | önleme, koruma
prey n. C1 | av, kurban
pride n. B2 | gurur, kıvanç
primarily adv. B2 | başlıca, öncelikle
principal adj. B2, n. C1 | başlıca, müdür, yönetici
prior adj. B2 | önceki, öncelikli
privatization n. C1 | özelleştirme, serbestleştirme
privilege n. C1 | ayrıcalık, imtiyaz
probability n. B2 | olasılık, ihtimal
probable adj. B2 | olası, muhtemel
probe n., v. C1 | sondaj, araştırma
problematic adj. C1 | sorunlu, problemli
proceed v. B2 | devam etmek, ilerlemek
proceeding n. C1 | dava, işlem
proceeds n. C1 | gelir, kazanç
processing n. C1 | işleme, işlem
processor n. C1 | işlemci, bilgisayar işlemcisi
proclaim v. C1 | ilan etmek, duyurmak
productive adj. C1 | verimli, üretken
productivity n. C1 | verimlilik, üretkenlik
profitable adj. C1 | karlı, kazançlı
profound adj. C1 | derin, köklü
programming n. B2 | programlama, yazılım geliştirme
progressive adj. B2 | ilerleyici, ilerlemeci
prohibit v. B2 | yasaklamak, men etmek
projection n. C1 | projeksiyon, yansıtma
prominent adj. C1 | öne çıkan, tanınmış
promising adj. B2 | umut verici, gelecek vaat eden
promotion n. B2 | terfi, tanıtım
prompt v. B2 | hızlandırmak, teşvik etmek
pronounced adj. C1 | belirgin, açıkça görülen
proportion n. B2 | oran, nispet
proposition n. C1 | öneri, teklif
prosecute v. C1 | dava açmak, kovuşturmak
prosecution n. C1 | dava, kovuşturma
prosecutor n. C1 | savcı, dava vekili
prospective adj. C1 | olası, muhtemel
prosperity n. C1 | refah, zenginlik
protective adj. C1 | koruyucu, koruma sağlayan
protein n. B2 | protein, besin
protester n. B2 | protestocu, gösterici
protocol n. C1 | protokol, anlaşma
province n. C1 | il, eyalet
provincial adj. C1 | taşra, il iliği
provision n. C1 | hüküm, tedbir
provoke v. C1 | kışkırtmak, tahrik etmek
psychiatric adj. C1 | psikiyatrik, ruh sağlığı ile ilgili
psychological adj. B2 | psikolojik, ruhsal
publicity n. B2 | kamuoyu, tanıtım
publishing n. B2 | yayıncılık, yayınlama
pulse n. C1 | nabız, atış
pump v., n. C1 | pompalamak, pompa
punch n., v. C1 | yumruk, yumruklamak
punk n. B2 | punk, asi genç
purely adv. B2 | sadece, tamamen
pursuit n. B2 | takip, kovalama
puzzle n. B2 | bulmaca, gizem
query n. C1 | sorgu, soruşturma
quest n. C1 | arayış, arama
questionnaire n. B2 | anket, soruşturma formu
quota n. C1 | kota, pay
racial adj. B2 | ırksal, etnik
racism n. B2 | ırkçılık, etnik ayrımcılık
racist adj., n. B2 | ırkçı, etnik ayrımcı
radar n. C1 | radar, tarama
radiation n. B2 | radyasyon, ışıma
radical adj. C1 | radikal, köklü
rage n. C1 | öfke, hiddet
raid n., v. C1 | baskın, akın
rail n. B2 | demiryolu, ray
rally n., v. C1 | ralli, toplanma
random adj. B2 | rastgele, gelişigüzel
ranking n. C1 | sıralama, derecelendirme
rape n., v. C1 | tecavüz, tecavüz etmek
rat n. B2 | sıçan, fare
rating n. B2 | derecelendirme, puanlama
ratio n. C1 | oran, orantı
rational adj. C1 | rasyonel, mantıklı
ray n. C1 | ışın, radyasyon
readily adv. C1 | kolayca, isteyerek
realization n. C1 | farkındalık, gerçekleşme
realm n. C1 | alan, saha
rear adj., n. C1 | arka, geri
reasonably adv. B2 | makul bir şekilde, mantıklı bir şekilde
reasoning n. C1 | mantık yürütme, akıl yürütme
reassure v. C1 | güvence vermek, sakinleştirmek
rebel n. C1 | isyancı, asi
rebellion n. C1 | isyan, ayaklanma
rebuild v. B2 | yeniden inşa etmek, restore etmek
receiver n. B2 | alıcı, alıc
recession n. B2 | ekonomik durgunluk, gerileme
recipient n. C1 | alıcı, alım
reckon v. B2 | sanmak, hesaplamak
recognition n. B2 | tanıma, tanınma
reconstruction n. C1 | yeniden inşa, rekonstrüksiyon
recount v. C1 | saymak, anlatmak
recovery n. B2 | iyileşme, toparlanma
recruit v., n. B2 | işe almak, yeni eleman
recruitment n. C1 | işe alma, işe alım
referee n. B2 | hakem, gözlemci
referendum n. C1 | referandum, halk oylaması
reflection n. C1 | yansıma, düşünce
reform n., v. C1 | reform, düzeltme
refuge n. C1 | sığınak, barınak
refugee n. B2 | mülteci, sığınmacı
refusal n. C1 | reddetme, ret
regain v. C1 | geri kazanmak, yeniden elde etmek
regardless adv. C1 | bakmaksızın, her şeye rağmen
regime n. C1 | rejim, yönetim
registration n. B2 | kayıt, kaydolma
regulate v. B2 | düzenlemek, ayarlamak
regulator n. C1 | düzenleyici, regülatör
regulatory adj. C1 | düzenleyici, yönetmeliklere tabi
rehabilitation n. C1 | rehabilite, iyileştirme
reign n., v. C1 | saltanat, hükümet
reinforce v. B2 | güçlendirmek, desteklemek
rejection n. C1 | ret, reddetme
relevance n. C1 | ilgi, uygunluk
reliability n. C1 | güvenilirlik, sağlamlık
relieve v. B2 | rahatlatmak, hafifletmek
relieved adj. B2 | rahatlamış, hafiflemiş
reluctant adj. C1 | isteksiz, gönülsüz
remainder n. C1 | geriye kalan, arta kalan
remains n. C1 | kalıntılar, artıklar
remarkable adj. B2 | dikkate değer, olağanüstü
remarkably adv. B2 | dikkat çekici bir şekilde, olağanüstü bir şekilde
remedy n. C1 | çare, ilaç
reminder n. C1 | hatırlatıcı, anımsatıcı
removal n. C1 | kaldırma, çıkarma
render v. C1 | sunmak, vermek
renew v. C1 | yenilemek, tazelemek
renowned adj. C1 | ünlü, tanınmış
rental n. C1 | kiralama, kira
replacement n. C1 | yerine koyma, değiştirme
reportedly adv. C1 | iddia edildiğine göre, söylendiğine göre
reporting n. B2 | raporlama, bildirme
representation n. C1 | temsil, temsilcilik
reproduce v. C1 | üremek, çoğalmak
reproduction n. C1 | üreme, çoğalma
republic n. C1 | cumhuriyet, halk yönetimi
resemble v. C1 | benzemek, andırmak
reside v. C1 | ikamet etmek, oturmak
residence n. C1 | ikamet, konut
residential adj. C1 | konutla ilgili, ikamet edilen
residue n. C1 | artık, kalıntı
resign v. B2 | istifa etmek, ayrılmak
resignation n. C1 | istifa, ayrılık
resistance n. C1 | direnç, karşı koyma
resolution n. B2 | çözüm, kararlılık
respective adj. C1 | ilgili, her bir
respectively adv. C1 | sırasıyla, her biri
restoration n. C1 | restorasyon, onarma
restore v. B2 | geri getirmek, onarmak
restraint n. C1 | kısıtlama, sınırlama
restrict v. B2 | kısıtlamak, sınırlamak
restriction n. B2 | kısıtlama, sınırlama
resume v. C1 | yeniden başlatmak, devam etmek
résumé n. B2 | özgeçmiş, kısa özgeçmiş
retail n. B2 | perakende, parakende satış
retirement n. B2 | emeklilik, emeklilik dönemi
retreat n., v. C1 | geri çekilme, geri çekilmek
retrieve v. C1 | geri almak, kurtarmak
revelation n. C1 | ifşaat, açığa çıkma
revenge n. C1 | intikam, öç
revenue n. B2 | gelir, hasılat
reverse v., n., adj. C1 | ters çevirmek, geri, karşıt
revision n. B2 | revizyon, gözden geçirme
revival n. C1 | canlanma, diriliş
revive v. C1 | canlandırmak, diriltmek
revolutionary adj. C1 | devrimci, köklü değişiklik getiren
rhetoric n. C1 | retorik, söylem sanatı
ridiculous adj. B2 | gülünç, komik
rifle n. C1 | tüfek, otomatik tüfek
riot n. C1 | ayaklanma, isyan
rip v. C1 | yırtmak, koparmak
risky adj. B2 | riskli, tehlikeli
ritual n. C1 | ritüel, tören
rival n., adj. B2 | rakip, rekabetçi
rob v. B2 | soygun yapmak, soymak
robbery n. B2 | soygun, hırsızlık
robust adj. C1 | güçlü, sağlam
rock v. C1 | sallamak, sarsmak
rocket n. B2 | roket, füze
rod n. C1 | çubuk, sopa
romance n. B2 | romantizm, aşk
rookie n. C1 | acemi, yeni başlayan
rose n. B2 | gül, güller
roster n. C1 | kadro, listede bulunanlar
rotate v. C1 | döndürmek, dönmek
rotation n. C1 | dönme, rotasyon
roughly adv. B2 | yaklaşık olarak, kabaca
ruin v., n. B2 | harap etmek, yıkım
ruling n. C1 | hüküm, karar
rumor n. C1 | dedikodu, söylenti
sacred adj. C1 | kutsal, mukaddes
sacrifice n., v. C1 | kurban, fedakarlık
saint n. C1 | aziz, kutsal
sake n. C1 | hatır, uğur
sanction n. C1 | yaptırım, onaylama
satisfaction n. B2 | memnuniyet, tatmin
say n. C1 | sayı, söyleme
scandal n. B2 | skandal, rezalet
scare v., n. B2 | korkutmak, korku
scattered adj. C1 | dağınık, yayılmış
scenario n. B2 | senaryo, senaryo yazımı
scholar n. B2 | bilim adamı, alim
scholarship n. B2 | burs, bilimsel çalışma
scope n. C1 | kapsam, alan
scratch v., n. B2 | çizmek, çizik
screening n. B2 | tarama, ekranda gösterme
screw v., n. C1 | vida, vidalamak
scrutiny n. C1 | inceleme, gözden geçirme
seal v., n. C1 | mühür, mühürlemek
secondly adv. C1 | ikinci olarak, ikinci sırada
secular adj. C1 | laik, dünyevi
seeker n. B2 | arayan, talep eden
seemingly adv. C1 | görünüşe göre, görünürde
segment n. C1 | bölüm, dilim
seize v. C1 | ele geçirmek, kapmak
seldom adv. C1 | nadiren, seyrek
selective adj. C1 | seçici, seçmeli
seminar n. B2 | seminer, toplantı
sensation n. C1 | his, duygu
sensitivity n. C1 | duyarlılık, hassasiyet
sentiment n. C1 | duygu, his
separation n. C1 | ayrılma, ayrım
serial adj. C1 | dizi, seri
settlement n. C1 | yerleşim, yerleşme
settler n. B2 | yerleşimci, göçmen
setup n. C1 | kurulum, düzenleme
severely adv. B2 | ciddi bir şekilde, ağır
sexuality n. C1 | cinsellik, cinsel yönelim
sexy adj. B2 | seksi, çekici
shaped adj. B2 | şekilli, biçimli
shareholder n. C1 | hissedar, ortak
shatter v. C1 | paramparça etmek, dağıtmak
shed v. C1 | dökmek, akmak
sheer adj. C1 | sırf, saf
shipping n. C1 | nakliye, deniz taşımacılığı
shocking adj. B2 | şok edici, dehşet verici
shoot n. C1 | vurmak, ateş etmek
shore n. B2 | sahil, kıyı
shortage n. B2 | kıtlık, eksiklik
shortly adv. B2 | kısacası, kısa süre içinde
short-term adj. B2 | kısa vadeli, kısa süreli
shrink v. C1 | küçülmek, çekmek
shrug v. C1 | omuz silkmek, umursamamak
sibling n. B2 | kardeş, akraba
sidewalk n. B2 | kaldırım, yaya kaldırımı
sigh v., n. C1 | iç çekmek, iç çekme
signature n. B2 | imza, imzalama
significance n. B2 | önem, anlam
simulate v. C1 | taklit etmek, benzetmek
simulation n. C1 | benzetme, taklit
simultaneously adv. C1 | aynı anda, eş zamanlı olarak
sin n. C1 | günah, suç
situated adj. C1 | bulunan, konumlu
skeptical adj. C1 | şüpheci, kuşkulu
sketch n. C1 | taslak, eskiz
skilled adj. B2 | yetenekli, deneyimli
skip v. C1 | atlamak, es geçmek
skull n. B2 | kafatası, iskelet başı
slam v. C1 | çarpmak, sert bir şekilde kapatmak
slap v. C1 | tokatlamak, şamar atmak
slash v. C1 | yarmak, kesmek
slavery n. C1 | kölelik, esaret
slogan n. B2 | slogan, slogan yazmak
slot n. C1 | yuva, çentik
smash v. C1 | paramparça etmek, ezmek
snap v. C1 | çat diye kapanmak, kopmak
soak v. C1 | ıslatmak, sırılsıklam olmak
soar v. C1 | hızla yükselmek, fırlamak
so-called adj. B2 | sözde, güya
socialist adj. C1 | sosyalist, toplumcu
sole adj. C1 | tek, yalnız
solely adv. C1 | yalnızca, sadece
solidarity n. C1 | dayanışma, birlik
solo adj., n. C1 | solo, yalnız
somehow adv. B2 | her nasılsa, bir şekilde
sometime adv. B2 | bir gün, bir zamanlar
sophisticated adj. B2 | karmaşık, gelişmiş
sophomore n. C1 | ikinci sınıf öğrencisi, ikinci yıl öğrencisi
sound adj. C1 | sağlam, sağlıklı
sovereignty n. C1 | egemenlik, bağımsızlık
spam n. C1 | istenmeyen posta, spam
span v., n. C1 | yayılmak, süre
spare adj. B2, v. C1 | yedek, ayırmak
spark v. C1 | kıvılcım saçmak, tetiklemek
specialize v. B1 | uzmanlaşmak, özelleşmek
specialized adj. C1 | uzmanlaşmış, özel
specification n. C1 | belirleme, özellik
specify v. B2 | belirtmek, açıklamak
specimen n. C1 | örnek, numune
spectacle n. C1 | gösteri, manzara
spectacular adj. B2 | muhteşem, etkileyici
spectator n. B2 | seyirci, izleyici
spectrum n. C1 | spektrum, yayılım
speculate v. B2 | spekülasyon yapmak, tahminde bulunmak
speculation n. B2 | spekülasyon, tahmin
spell n. C1 | harf sıralaması, büyü
sphere n. C1 | küre, alan
spice n. B2 | baharat, aroma
spill v. B2 | dökmek, sızdırmak
spin v., n. C1 | dönmek, çevirmek
spine n. C1 | omurga, bel kemiği
spite n. B2 | kötülük, inat
spoil v. B2 | bozmak, berbat etmek
spokesman n. B2 | sözcü, temsilci (erkek)
spokesperson n. B2 | sözcü, temsilci (cinsiyet ayrımı yapmayan)
spokeswoman n. B2 | sözcü, temsilci (kadın)
sponsorship n. B2 | sponsorluk, destek
spotlight n. C1 | spot ışık, ilgi odağı
spouse n. C1 | eş, hayat arkadaşı
spy n., v. C1 | casus, casusluk yapmak
squad n. C1 | takım, ekip
squeeze v. C1 | sıkıştırmak, sıkmak
stab v. C1 | bıçaklamak, saplamak
stability n. C1 | istikrar, denge
stabilize v. C1 | dengelemek, istikrar kazandırmak
stake n. C1 | bahis, pay
stall n. B2 | tezgah, kulübe
stance n. B2 | duruş, tavır
standing adj. C1 | ayakta duran, mevcut
stark adj. C1 | açık seçik, sert
starve v. B2 | açlıktan ölmek, aç bırakmak
statistical adj. C1 | istatistiksel, istatistikle ilgili
steadily adv. B2 | istikrarlı bir şekilde, sabit bir şekilde
steam n. B2 | buhar, buharlı
steer v. C1 | yönlendirmek, manevra yapmak
stem n., v. C1 | sap, gövde
stereotype n. C1 | klişe, kalıp düşünce
stimulate v. B2 | uyarmak, teşvik etmek
stimulus n. C1 | uyarıcı, teşvik
stir v. C1 | karıştırmak, harekete geçirmek
storage n. C1 | depolama, saklama
straightforward adj. C1 | açık sözlü, dürüst
strain n. C1 | gerilme, zorlama
strand n. C1 | tel, iplik
strategic adj. C1 | stratejik, taktiksel
strengthen v. B2 | güçlendirmek, kuvvetlendirmek
strictly adv. B2 | sıkı bir şekilde, kesinlikle
striking adj. B2 | dikkat çekici, çarpıcı
strip (long narrow piece) n. C1 | şerit, bant
strip (remove clothes/a layer) v. C1 | soymak, soyunmak
strive v. C1 | çaba harcamak, mücadele etmek
stroke n. B2 | inme, felç
structural adj. C1 | yapısal, yapı ile ilgili
stumble v. C1 | tökezlemek, yanılmak
stun v. C1 | sersemletmek, şaşırtmak
stunning adj. B2 | etkileyici, şaşırtıcı
submission n. C1 | boyun eğme, sunma
subscriber n. C1 | abone, üye
subscription n. C1 | abonelik, üyelik
subsequent adj. B2 | sonraki, takip eden
subsequently adv. B2 | daha sonra, sonradan
subsidy n. C1 | sübvansiyon, yardım
substantial adj. C1 | önemli, büyük
substantially adv. C1 | önemli ölçüde, büyük ölçüde
substitute n., v. C1 | yedek, yedek oyuncu, yedek oyuncu ile değiştirmek
substitution n. C1 | yedek oyuncu ile değiştirme, yedek oyuncu
subtle adj. C1 | ince, hemen göze çarpmayan
suburb n. B2 | banliyö, kenar mahalle
suburban adj. C1 | banliyö, kenar mahalle ile ilgili
succession n. C1 | ardışıklık, birbirini izleme
successive adj. C1 | ardışık, peş peşe gelen
successor n. C1 | halef, varis
suck v. C1 | emmek, sallamak
sue v. C1 | dava açmak, mahkemeye vermek
suffering n. B2 | acı, ızdırap
sufficient adj. B2 | yeterli, kâfi
sufficiently adv. B2 | yeterince, kâfi derecede
suicide n. C1 | intihar, intihar etme
suite n. C1 | süit, takım
summit n. C1 | zirve, doruk
super adj. B2 | mükemmel, süper
superb adj. C1 | harika, muhteşem
superintendent n. C1 | müdür, başkan
superior adj. C1 | üstün, daha iyi
supervise v. C1 | denetlemek, gözetlemek
supervision n. C1 | denetleme, gözetim
supervisor n. C1 | denetleyici, gözetmen
supplement n., v. C1 | ek, takviye
supportive adj. C1 | destekleyici, yardım eden
supposedly adv. C1 | iddiaya göre, sözde
suppress v. C1 | bastırmak, zapt etmek
supreme adj. C1 | yüce, en üstün
surge n., v. C1 | dalgalanma, kabarma
surgeon n. B2 | cerrah, doktor
surgical adj. C1 | cerrahi, ameliyatla ilgili
surplus n. C1 | fazlalık, artık
surrender v. C1 | teslim olmak, vazgeçmek
surveillance n. C1 | gözetim, denetim
survival n. B2 | hayatta kalma, varlığını sürdürme
survivor n. B2 | hayatta kalan, sağ kurtulan
suspend v. B2 | askıya almak, ertelemek
suspension n. C1 | askıya alma, erteleme
suspicion n. C1 | şüphe, kuşku
suspicious adj. C1 | şüpheli, kuşkulu
sustain v. C1 | sürdürmek, devam ettirmek
sustainable adj. B2 | sürdürülebilir, devamlı sağlanabilen
swallow v. B2 | yutmak, yutkunmak
swing v., n. C1 | sallanmak, sallanma
sword n. C1 | kılıç, silah
symbolic adj. C1 | sembolik, simgesel
sympathetic adj. B2 | sempatik, anlayışlı
syndrome n. C1 | sendrom, hastalık belirtisi
synthesis n. C1 | sentez, birleştirme
systematic adj. C1 | sistematik, düzenli
tackle v. B2, n. C1 | ele almak, mücadele etmek, takım malzemesi
tactic n. C1 | taktik, strateji
tactical adj. C1 | taktiksel, stratejik
tag n., v. B2 | etiket, işaret
tap v., n. B2 | dokunmak, musluk
taxpayer n. C1 | vergi mükellefi, vergi ödeyeni
technological adj. B2 | teknolojik, teknoloji ile ilgili
teen n., adj. B2 | genç, gençlik çağındaki
temple n. B2 | tapınak, mabed
temporarily adv. B2 | geçici olarak, anlık
tempt v. C1 | baştan çıkarmak, ayartmak
tenant n. C1 | kiracı, kiralamak
tendency n. B2 | eğilim, yatkınlık
tender adj. C1 | yumuşak, hassas
tension n. B2 | gerilim, gerginlik
tenure n. C1 | görev süresi, sahip olma süresi
terminal n. B2, adj. C1 | terminal, sonlanan, ölüm döşeği
terminate v. C1 | sonlandırmak, sona erdirmek
terms n. B2 | şartlar, koşullar
terrain n. C1 | arazi, bölge
terribly adv. B2 | korkunç bir şekilde, çok kötü bir şekilde
terrific adj. C1 | harika, muhteşem
terrify v. B2 | dehşete düşürmek, korkutmak
territory n. B2 | toprak, bölge
terror n. B2 | terör, dehşet
terrorism n. B2 | terörizm, terör eylemi
terrorist n. B2 | terörist, terör örgütü üyesi
testify v. C1 | tanıklık etmek, ifade vermek
testimony n. C1 | tanıklık, ifade
testing n. B2 | test, deneme
textbook n. B2 | ders kitabı, öğrenci kitabı
texture n. C1 | dokusu, yapı
thankfully adv. C1 | şükranla, şükürle
theatrical adj. C1 | tiyatral, sahneyle ilgili
theft n.B2 | hırsızlık, soygun
theology n. C1 | teoloji, ilahiyat
theoretical adj. C1 | teorik, kuramsal
therapist n. B2 | terapist, uzman
thereafter adv. C1 | bundan sonra, sonradan
thereby adv. C1 | bu yolla, bu suretle
thesis n. B2 | tez, sav
thorough adj. B2 | kapsamlı, detaylı
thoroughly adv. B2 | tamamen, eksiksiz bir şekilde
thoughtful adj. C1 | düşünceli, anlayışlı
thought-provoking adj. C1 | düşündürücü, düşünce uyandıran
thread n. C1 | iplik, tel
threshold n. C1 | eşik, sınır
thrilled adj. C1 | heyecanlı, coşkulu
thrive v. C1 | büyümek, gelişmek
thumb n. B2 | başparmak, el ayası
tide n. C1 | gelgit, akıntı
tighten v. C1 | sıkılaştırmak, sıkılaşmak
timber n. C1 | kereste, ağaç malzeme
timely adj. C1 | zamanında, uygun zamanında
timing n. B2 | zamanlama, süreç
tissue n. B2 | doku, kağıt mendil
tobacco n. C1 | tütün, tütün ürünleri
tolerance n. C1 | hoşgörü, tahammül
tolerate v. C1 | tahammül etmek, hoşgörü göstermek
toll n. C1 | geçiş ücreti, köprü/geçiş parası
top v. C1 | üstünlük, tepe
torture n., v. C1 | işkence, işkence etmek
toss v. C1 | atmak, fırlatmak
total v. C1 | toplam, tam
tournament n. B2 | turnuva, müsabaka
toxic adj. C1 | toksik, zehirli
trace v.B2, n. C1 | izini sürmek, iz
trademark n. C1 | marka, ticari marka
trading n. B2 | ticaret, alışveriş
tragedy n. B2 | trajedi, felaket
tragic adj., B2 | trajik, felaket dolu
trail n., v. C1 | iz, patika, takip etmek
trailer n. C1 | treyler, römork
trait n. B2 | kişisel özellik, karakter özelliği
transaction n. C1 | işlem, iş ilişkisi
transcript n. C1 | transkript, yazılı metin
transformation n. C1 | dönüşüm, değişim
transit n. C1 | geçiş, ulaşım
transmission n. C1 | iletim, nakil
transmit v. B2 | iletmek, nakletmek
transparency n. C1 | şeffaflık, saydamlık
transparent adj. C1 | şeffaf, saydam
trap v., n. B2 | tuzak kurmak, tuzak
trauma n. C1 | travma, psikolojik yaralanma
treasure n. B2 | hazine, değerli şey
treaty n. C1 | antlaşma, anlaşma
tremendous adj. C1 | muazzam, çok büyük
tribal adj. C1 | kabileye ait, kabile ile ilgili
tribe n. B2 | kabile, aşiret
tribute n. C1 | övgü, tazim
trigger v. B2, n. C1 | tetiklemek, tetikleyici
trillion number B2 | trilyon, çok büyük sayı
trio n. C1 | trio, üçlü
triumph n. C1 | zafer, başarı
troop n. B2 | askeri birlik, askerler
trophy n. C1 | kupa, ödül
troubled adj. C1 | sorunlu, sıkıntılı
trustee n. C1 | vekil, güvendiği kişi
tsunami n. B2 | tsunami, dev dalga
tuition n. C1 | öğrenim ücreti, ders ücreti
tumor n. C1 | tümör, ur
turnout n. C1 | katılım, topluluk
turnover n. C1 | ciro, gelir
twist v., n. C1 | bükülmek, bükme
ultimate adj. B2 | en son, nihai
unacceptable adj. B2 | kabul edilemez, hoş görülemez
uncertainty n. B2 | belirsizlik, şüphe
unconstitutional adj. C1 | anayasaya aykırı, anayasal olmayan
undergo v. B2 | geçirmek, katlanmak
undergraduate n. C1 | lisans öğrencisi, ön lisans öğrencisi
underlying adj. C1 | temel, altında yatan
undermine v. C1 | zayıflatmak, baltalamak
undertake v. B2 | üstlenmek, taahhüt etmek
undoubtedly adv. C1 | şüphesiz, kuşkusuz
unfold v. B2 | açmak, ortaya koymak
unfortunate adj. B2 | şanssız, talihsiz
unify v. C1 | birleştirmek, bütünleştirmek
unite v. B2 | birleşmek, bir araya gelmek
unity n. B2 | birlik, bütünlük
universal adj. B2 | evrensel, genel
unprecedented adj. C1 | eşi benzeri görülmemiş, benzeri olmayan
unveil v. C1 | ortaya koymak, açığa çıkarmak
upcoming adj. C1 | yaklaşan, önümüzdeki
upgrade v., n. C1 | yükseltmek, yükseltme
uphold v. C1 | desteklemek, korumak
urgent adj. B2 | acil, ivedi
usage n. B2 | kullanım, alışkanlık
useless adj. B2 | faydasız, işe yaramaz
utility n. C1 | fayda, yarar
utilize v. C1 | kullanmak, değerlendirmek
utterly adv. C | tamamen, tümden
vacuum n. C1 | vakum, boşluk
vague adj. C1 | belirsiz, flu
valid adj. B2 | geçerli, mantıklı
validity n. C1 | geçerlilik, doğruluk
vanish v. C1 | kaybolmak, ortadan kaybolmak
variable n., adj. C1 | değişken, değişkenlik gösteren
variation n. B2 | değişiklik, varyasyon
varied adj. C1 | çeşitli, farklı türlerde
vein n. C1 | damar, toplar damar
venture n., v. C1 | girişim, tehlikeye atılmak
verbal adj. C1 | sözlü, sözel
verdict n. C1 | hüküm, karar
verify v. C1 | doğrulamak, teyit etmek
verse n. C1 | şiir, beyit
versus conj. C1 | karşısında, -e karşı
vertical adj. B2 | dikey, düşey
vessel n. C1 | gemi, kap
veteran n. C1 | gazi, kıdemli
viable adj., C1 | uygulanabilir, yaşayabilir
vibrant adj. C1 | canlı, hareketli
vice n. C1 | kötü alışkanlık, suç
vicious adj. C1 | kötü, şiddetli
viewpoint n. B2 | bakış açısı, görüş açısı
violate v. C1 | ihlal etmek, çiğnemek
violation n. C1 | ihlal, çiğneme
virtue n. C1 | erdem, fazilet
visa n. B2 | vize, pasaport vizesi
visible adj. B2 | görünür, gözle görülebilir
vocal adj. C1 | sesli, sözlü
voluntary adj. B2 | gönüllü, isteğe bağlı
voting n. B2 | oy verme, seçim
vow v. C1 | yemin etmek, söz vermek
vulnerability n. C1 | savunmasızlık, hassaslık
vulnerable adj. C1 | savunmasız, korunaksız
wander v. B2 | amaçsızca dolaşmak, gezinmek
ward n. C1 | bölme, koğuş
warehouse n. C1 | depo, ambar
warfare n. C1 | savaş, harp
warming n. B2 | ısınma, ısınma süreci
warrant n., v. C1 | tutuklama emri, yetki
warrior n. C1 | savaşçı, asker
weaken v. C1 | zayıflatmak, gücünü almak
weave v. C1 | örmek, dokumak
weed n. C1 | yabani ot, ot temizleme
weekly adj. B2 | haftalık, her hafta yapılan
weird adj. B2 | garip, tuhaf
welfare n. B2 | refah, sosyal yardım
well n. C1 | kuyu, çeşme
well-being n. C1 | refah, sağlık ve mutluluk
whatsoever adv. C1 | hiç, hiçbir şekilde
wheat n. B2 | buğday, buğday tanesi
